occupation-name,credit-rating-range,skill-point-formula,occupation-skills
推销员,9-40,edu×2＋app×2,会计，两项社交技能（魅惑、话术、恐吓、说服），汽车驾驶，聆听，心理学，潜行或妙手，一项其他技能。
科学家,9-50,edu×4,任意三项科学专业领域，计算机或图书馆，外语，母语，一项社交技能（魅惑、话术、恐吓、说服），侦查。
秘书,9-30,edu×2＋dex或app×2,会计，技艺（打字或速记），两项社交技能（魅惑、话术、恐吓、说服），母语，图书馆或计算机，心理学，任意一项其他个人或时代特长。
店老板,20-40,edu×2＋app或dex×2,会计，两项社交技能（魅惑、话术、恐吓、说服），电气维修，聆听，机械维修，心理学，侦查。
士兵、海军陆战队士兵,9-30,edu×2＋dex或str×2,攀爬或游泳，闪避，格斗，射击，潜行，生存，下面任选两项：急救、机械维修、外语。
间谍,20-60,edu×2＋app或dex×2,技艺（表演）或乔装，射击，聆听，外语，一项社交技能（魅惑、话术、恐吓、说服），心理学，妙手，潜行。
学生、实习生,5-10,edu×4,语言（母语或外语），图书馆，聆听，三个学习的专业，任意两项其他个人或时代特长。
替身演员,10-50,edu×2＋dex或str×2,攀爬，闪避，电气维修或机械维修，格斗，急救，跳跃，游泳，下面任选一项：潜水、汽车驾驶、驾驶（任一），骑乘。
部落成员,0-15,edu×2＋dex或str×2,攀爬，格斗或投掷，聆听，自然学，神秘学，侦查，游泳，生存（任一）。
殡葬师,20-40,edu×4,会计，汽车驾驶，一项社交技能（魅惑、话术、恐吓、说服），历史，神秘学，心理学，科学（生物学，化学）。
工会活动家,5-50,edu×4,会计，两项社交技能（魅惑、话术、恐吓、说服），格斗（斗殴），法律，聆听，操作重型机械，心理学。
服务生,9-20,edu×2＋app或dex×2,会计，技艺（任一），闪避，聆听，两项社交技能（魅惑、话术、恐吓、说服），心理学，任意一项其他个人或时代特长。
白领工人-职员、主管,9-20,edu×4,会计，语言，法律，图书馆或计算机，聆听，一项社交技能（魅惑、话术、恐吓、说服），任意两项其他个人或时代特长。
白领工人-中高层管理人员,20-80,edu×4,会计，外语，法律，两项社交技能（魅惑、话术、恐吓、说服），心理学，任意两项其他个人或时代特长。
狂热者,0-30,edu×2＋app或pow×2,历史，两项社交技能（魅惑、话术、恐吓、说服），心理学，潜行，任意三项其他个人或时代特长。
饲养员,9-40,edu×4,驯兽，会计，闪避，急救，自然学，医学，科学（制药，动物学）。
